 Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Latitude, Longitude
3411,Moose Lodge (Roseville/Lincoln),506 Lincoln St,Roseville,95678,CA,38.75334,-121.28511
1116930,The Chalet Event Center (Rocklin/China Garden),5450 China Garden Rd ste b,Rocklin,95677,CA,38.78479,-121.22507
1037399,James Schafer (Residential) (Granite Bay/Spencer),5441 Spencer Lane,Granite Bay,95746,CA,38.71774,-121.21908
3553,North Ridge Country Club (Fair Oaks/Madison Ave),7600 Madison Ave,Fair Oaks,95628,CA,38.66054,-121.28351
3600,Olive Garden (Citrus Heights/Sunrise),5445 Sunrise Blvd,Citrus Heights,95610,CA,38.66606,-121.27285
2473,El Tapatio (Citrus Heights/Sunrise),5637 Sunrise Blvd,Citrus Heights,95610,CA,38.66888,-121.27303
3381,Mizuki (Citrus Heights/Sunrise),5500 Sunrise Blvd,Citrus Heights,95610,CA,38.66763,-121.27164
1109212,Liquid Therapy (Fair Oaks/Madison),8121 Madison Ave Ste F4,Fair Oaks,95628,CA,38.66486,-121.26029
4410,Dels Family Pizza (Fair Oaks/Fair Oaks),11711 Fair Oaks Blvd,Fair Oaks,95628,CA,38.66486,-121.26275
2540,Fabians Italian Bistro (Fair Oaks/Fair Oaks),11755 Fair Oaks Blvd,Fair Oaks,95628,CA,38.665378,-121.26226
4522,El Gallo Mexican Restaurant (Fair Oaks/Fair Oaks),11773 Fair Oaks Blvd,Fair Oaks,95628,CA,38.66595,-121.26271
3960,Phat Chads (Citrus Heights/Auburn),7951 Auburn Blvd,Citrus Heights,95610,CA,38.71192,-121.29145
4232,Score Board (Citrus Heights/Auburn),7691 Auburn Blvd,Citrus Heights,95610,CA,38.705513,-121.290535
4063,Round Table (Citrus Heights/Sunrise),7700 Sunrise Blvd,Citrus Heights,95610,CA,38.70638,-121.27097
3480,Mountain Mikes (Citrus Heights/Sunrise),7777 Sunrise Boulevard Suite 3700,Citrus Heights,95610,CA,38.70713,-121.27285
1015692,Beer Dogs (Citrus Heights/Sylvan),7032 Sylvan Road,Citrus Heights,95610,CA,38.693249,-121.290185
2592,Steve Cook's Fireside Lanes (Citrus Heights/Auburn),7901 Auburn Boulevard,Citrus Heights,95610,CA,38.70992,-121.29134
1051234,Perko's (Citrus Heights/Sunrise),6215 Sunrise Blvd,Citrus Heights,95610,CA,38.67919,-121.27196
3047,La Fiesta Taqueria (Citrus Heights/Greenback),7951 Greenback Ln,Citrus Heights,95610,CA,38.67968,-121.26946
4080,Round Table (Citrus Heights/Greenback),7943 Greenback Ln,Citrus Heights,95610,CA,38.67974,-121.26962
1033125,Beach Hut Deli (Citrus Heights/Sunrise),6408 Sunrise Boulevard,Citrus Heights,95610,CA,38.682584,-121.271421
3931,Red Lobster (Citrus Heights/Sunrise),6231 Sunrise Blvd,Citrus Heights,95610,CA,38.67943,-121.27215
3188,Lorees Little Shack (Citrus Heights/Greenback),6901 Greenback Ln,Citrus Heights,95610,CA,38.678372,-121.292465
7650,Texas Roadhouse (Citrus Heights/Sunrise),6309 Sunrise Blvd,Citrus Heights,95610,CA,38.680455,-121.271713
2212,Chuck E Cheese (Citrus Heights/Sunrise),6251 Sunrise Blvd,Citrus Heights,95610,CA,38.68063,-121.27371
2916,Jamson San Juan Club (Fair Oaks/Sunset),7420 Sunset Ave,Fair Oaks,95628,CA,38.65235,-121.29134
2182,Chilis (Fair Oaks/Sunrise),5303 Sunrise Blvd,Fair Oaks,95628,CA,38.6624,-121.27279
1041704,Fire Wings (Fair Oaks/Sunrise),5350 Sunrise Blvd,Fair Oaks,95628,CA,38.662863,-121.271963
1051317,Flaming Mountain Asian Fusion (Citrus Heights/Greenback),8036 Greenback Ln,Citrus Heights,95610,CA,38.67823,-121.26423
4418,Stockmans Club (Fair Oaks/Fair Oaks),10219 Fair Oaks Blvd,Fair Oaks,95628,CA,38.64282,-121.2702
4262,Shakers Pub & Grill (Citrus Heights/Sperry),5940 Sperry Dr,Citrus Heights,95621,CA,38.67475,-121.29342
2114,Cedar Room (Carmichael/Madison),5932 Madison Ave,Carmichael,95608,CA,38.66039,-121.32574
1031437,Love At First Bite Cafe (Fair Oaks/Winding Way),7405 Winding Way,Fair Oaks,95628,CA,38.64525,-121.29138
4074,Round Table (Fair Oaks/San Juan),4400 San Juan Ave,Fair Oaks,95628,CA,38.64397,-121.29071
8009,Fair Oaks Brew Pub (Fair Oaks/California),7988 California Ave.,Fair Oaks,95628,CA,38.6423,-121.26955
3835,Players Sports Bar (Fair Oaks/Sunrise Blvd),4060 Sunrise Blvd,Fair Oaks,95628,CA,38.63952,-121.27103
2071,Carmelitas (Fair Oaks/Howard),4071 Howard St,Fair Oaks,95628,CA,38.63967,-121.27064
4101,Round Table (Rancho Cordova/Sunrise),2234 Sunrise Blvd,Rancho Cordova,95670,CA,38.62088,-121.26857
1035805,Sky Sushi (Rancho Cordova/Sunrise),2252 Sunrise Blvd,Rancho Cordova,95670,CA,38.62035,-121.2686
8009,Fair Oaks Brew Pub (Fair Oaks/California),7988 California Ave.,Fair Oaks,95628,CA,38.6423,-121.26955
3835,Players Sports Bar (Fair Oaks/Sunrise Blvd),4060 Sunrise Blvd,Fair Oaks,95628,CA,38.63952,-121.27103
15580,Applebees (Rocklin/Lane Free),6811 Lane Free Blvd,Rocklin,95765,CA,38.797365,-121.291824
1016122,Blaze Pizza (Roseville/Fairway),10325 Fairway Dr 110,Roseville,95678,CA,38.789494,-121.28388
2190,Chilis (Roseville/Fairway),10585 Fairway Dr,Roseville,95678,CA,38.79538,-121.29206
1117372,Yummy Poke (Rocklin/Lonetree),6696 Lonetree Blvd Ste 300,Rocklin,95765,CA,38.79647,-121.29275
1025855,Anatolian Table Restaurant (Rocklin/Lonetree),6504 Lonetree Blvd,Rocklin,95765,CA,38.80318,-121.29414
1101078,Florentine Trattoria (Roseville/Fairway),10505 Fairway Dr,Roseville,95678,CA,38.79245,-121.29098
4789,Via Roma Pizzeria (Rocklin/Sunset Blvd),1230 Sunset Blvd,Rocklin,95765,CA,38.81101,-121.28471
1037698,Noma Sushi (Rocklin/Sunset Blvd),1240 Sunset Blvd 100,Rocklin,95765,CA,38.81135,-121.28469
1034429,Newcastle Pizza (Rocklin/Lonetree),6696 Lonetree Blvd Ste 100,Rocklin,95765,CA,38.79647,-121.29275
1015674,Mesa Mercado (Carmichael/Fair Oaks),6241 Fair Oaks Boulevard B,Carmichael,95608,CA,38.61487,-121.33041
3691,Palm Street Bar & Grill (Carmichael/Fair Oaks),6416 Fair Oaks Blvd,Carmichael,95608,CA,38.61802,-121.32741
14053,River City Brewing Company (Carmichael/Fair Oaks),6241 Fair Oaks Boulevard,Carmichael,95608,CA,38.61487,-121.33041
1026096,Taiko Sushi (Carmichael/Fair Oaks),6241 Fair Oaks Blvd Ste F,Carmichael,95608,CA,38.61487,-121.33041
13487,Rey Azteca #2 (Carmichael/Fair Oaks),6400 Fair Oaks Blvd,Carmichael,95608,CA,38.617125,-121.328492
4031,Romas Pizzeria (Carmichael/Fair Oaks),6530 Fair Oaks Blvd,Carmichael,95608,CA,38.619715,-121.328468
1017039,Mr. Pickles (Carmichael/Fair Oaks),5900 Fair Oaks Boulevard,Carmichael,95608,CA,38.60847,-121.32861
3982,Rey Azteca (Carmichael/Fair Oaks),6140 Fair Oaks Blvd,Carmichael,95608,CA,38.61299,-121.32842
1071574,Shady Coffee & Tea (Roseville/Douglas),325 Douglas Blvd,Roseville,95678,CA,38.74418,-121.28746
1081874,Art's Craft Beer Palace (Roseville/Foothills),3031 Foothills Blvd,Roseville,95815,CA,38.744957,-121.308365
3642,Original Petes (Roseville/Foothills),5005 Foothills Blvd,Roseville,95747,CA,38.75978,-121.30849
3623,Onyx Club (Roseville/Main),116 Main St,Roseville,95678,CA,38.75204,-121.28576
2373,Diamond Plate Bar & Grill (Roseville/Foothills),5030 Foothills Blvd,Roseville,95747,CA,38.75951,-121.31243
